dataset_version,class_name,sample_type,status,relative_path,pred_label,confidence,figure_path,note
grayscale,"Pepper,_bell___Bacterial_spot",correct,selected,"Pepper,_bell___Bacterial_spot/11b85334-0029-430e-873d-9402bd9e5e9f___JR_B.Spot 9031.JPG","Pepper,_bell___Bacterial_spot",0.9920,grayscale/correct_samples/correct_pepper__bell___bacterial_spot.png,
grayscale,"Pepper,_bell___Bacterial_spot",incorrect,selected,"Pepper,_bell___Bacterial_spot/d2e908d9-71d4-451a-b77d-6152c4a91957___JR_B.Spot 3175.JPG",Cherry_(including_sour)___Powdery_mildew,0.4601,grayscale/incorrect_samples/incorrect_pepper__bell___bacterial_spot.png,
grayscale,"Pepper,_bell___healthy",correct,selected,"Pepper,_bell___healthy/71c6e89b-d7df-4ae7-87ff-d58fcef032a8___JR_HL 5836.JPG","Pepper,_bell___healthy",0.9899,grayscale/correct_samples/correct_pepper__bell___healthy.png,
grayscale,"Pepper,_bell___healthy",incorrect,selected,"Pepper,_bell___healthy/bb0ce43c-537e-4545-9146-bb3e03fe7a32___JR_HL 5957.JPG",Tomato___Late_blight,0.9186,grayscale/incorrect_samples/incorrect_pepper__bell___healthy.png,
grayscale,Potato___Early_blight,correct,selected,Potato___Early_blight/719dcce1-73f0-42c8-9941-44eb2b237544___RS_Early.B 8059.JPG,Potato___Early_blight,0.9927,grayscale/correct_samples/correct_potato___early_blight.png,
grayscale,Potato___Early_blight,incorrect,selected,Potato___Early_blight/3b090cee-ba51-44c2-9cc6-4581db95070e___RS_Early.B 7789.JPG,Soybean___healthy,0.6725,grayscale/incorrect_samples/incorrect_potato___early_blight.png,
grayscale,Potato___Late_blight,correct,selected,Potato___Late_blight/be6b5fab-c3de-4d33-b7fc-87bf794d8705___RS_LB 4850.JPG,Potato___Late_blight,0.9832,grayscale/correct_samples/correct_potato___late_blight.png,
grayscale,Potato___Late_blight,incorrect,selected,Potato___Late_blight/5ebe5b4f-c3e3-435d-b2d5-49fa1002dbaa___RS_LB 2955.JPG,Potato___Early_blight,0.9807,grayscale/incorrect_samples/incorrect_potato___late_blight.png,
grayscale,Potato___healthy,correct,selected,Potato___healthy/b536ea91-c5f8-413b-87f3-a22ac3d959d1___RS_HL 1825.JPG,Potato___healthy,0.9564,grayscale/correct_samples/correct_potato___healthy.png,
grayscale,Potato___healthy,incorrect,selected,Potato___healthy/4ae82355-6885-40e7-9807-dabe46ed3441___RS_HL 5410.JPG,Soybean___healthy,0.9188,grayscale/incorrect_samples/incorrect_potato___healthy.png,
grayscale,Raspberry___healthy,correct,selected,Raspberry___healthy/b1e19774-132c-46ac-bff5-afe633f1e989___Mary_HL 9342.JPG,Raspberry___healthy,0.9680,grayscale/correct_samples/correct_raspberry___healthy.png,
grayscale,Raspberry___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Soybean___healthy,correct,selected,Soybean___healthy/ce0aa2a1-34b5-47ed-8928-aef3f76b9971___RS_HL 3649.JPG,Soybean___healthy,0.9906,grayscale/correct_samples/correct_soybean___healthy.png,
grayscale,Soybean___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Squash___Powdery_mildew,correct,selected,Squash___Powdery_mildew/cb7cf571-1dbe-4a20-9bae-9d6cfb5c08bd___MD_Powd.M 0958.JPG,Squash___Powdery_mildew,0.9903,grayscale/correct_samples/correct_squash___powdery_mildew.png,
grayscale,Squash___Powdery_mildew,incorrect,missing,,,,,no misclassified sample found
grayscale,Strawberry___Leaf_scorch,correct,selected,Strawberry___Leaf_scorch/0f21dbaf-70ab-4446-8898-fb81fa26092c___RS_L.Scorch 1111.JPG,Strawberry___Leaf_scorch,0.9917,grayscale/correct_samples/correct_strawberry___leaf_scorch.png,
grayscale,Strawberry___Leaf_scorch,incorrect,selected,Strawberry___Leaf_scorch/7011a44e-fd95-478e-a4b2-4a3f5f8f08e2___RS_L.Scorch 0146.JPG,Raspberry___healthy,0.7472,grayscale/incorrect_samples/incorrect_strawberry___leaf_scorch.png,
grayscale,Strawberry___healthy,correct,selected,Strawberry___healthy/65b83aea-55da-4f73-a4bd-ee81843e436b___RS_HL 1651.JPG,Strawberry___healthy,0.9921,grayscale/correct_samples/correct_strawberry___healthy.png,
grayscale,Strawberry___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Tomato___Bacterial_spot,correct,selected,Tomato___Bacterial_spot/93f19f54-a7c0-4eed-b7d7-6acfe9e2a2d7___GCREC_Bact.Sp 5827.JPG,Tomato___Bacterial_spot,0.9893,grayscale/correct_samples/correct_tomato___bacterial_spot.png,
grayscale,Tomato___Bacterial_spot,incorrect,selected,Tomato___Bacterial_spot/6cf3dccb-4d7d-430f-b49f-e18de33a65c2___UF.GRC_BS_Lab Leaf 1013.JPG,Tomato___Septoria_leaf_spot,0.9439,grayscale/incorrect_samples/incorrect_tomato___bacterial_spot.png,
grayscale,Tomato___Early_blight,correct,selected,Tomato___Early_blight/f0763973-1898-4ae6-9350-c9b61976c600___RS_Erly.B 6456.JPG,Tomato___Early_blight,0.9826,grayscale/correct_samples/correct_tomato___early_blight.png,
grayscale,Tomato___Early_blight,incorrect,selected,Tomato___Early_blight/aca65de6-6464-4f8c-803d-b55f92f950f8___RS_Erly.B 6663.JPG,Tomato___Septoria_leaf_spot,0.9857,grayscale/incorrect_samples/incorrect_tomato___early_blight.png,
grayscale,Tomato___Late_blight,correct,selected,Tomato___Late_blight/7d2ecdff-4eca-4f8e-b550-166d668498ba___GHLB2 Leaf 8602.JPG,Tomato___Late_blight,0.9880,grayscale/correct_samples/correct_tomato___late_blight.png,
grayscale,Tomato___Late_blight,incorrect,selected,Tomato___Late_blight/ad3a71e8-63e0-4de4-ad26-6965c8a1d27e___RS_Late.B 6670.JPG,Tomato___Septoria_leaf_spot,0.9295,grayscale/incorrect_samples/incorrect_tomato___late_blight.png,
grayscale,Tomato___Leaf_Mold,correct,selected,Tomato___Leaf_Mold/f482c835-b8f2-4ebc-88b2-3b6f58b8a696___Crnl_L.Mold 8949.JPG,Tomato___Leaf_Mold,0.9912,grayscale/correct_samples/correct_tomato___leaf_mold.png,
grayscale,Tomato___Leaf_Mold,incorrect,selected,Tomato___Leaf_Mold/35a6c962-8f94-4c23-97e3-726b1dcf7170___Crnl_L.Mold 8874.JPG,Tomato___Septoria_leaf_spot,0.8371,grayscale/incorrect_samples/incorrect_tomato___leaf_mold.png,
grayscale,Tomato___Septoria_leaf_spot,correct,selected,Tomato___Septoria_leaf_spot/b70cc78f-739a-4db0-956c-5150284651bd___Keller.St_CG 1959.JPG,Tomato___Septoria_leaf_spot,0.9961,grayscale/correct_samples/correct_tomato___septoria_leaf_spot.png,
grayscale,Tomato___Septoria_leaf_spot,incorrect,selected,Tomato___Septoria_leaf_spot/748290c1-48f9-46ab-bf30-70db00d1aa76___JR_Sept.L.S 2547.JPG,Tomato___healthy,0.9339,grayscale/incorrect_samples/incorrect_tomato___septoria_leaf_spot.png,
grayscale,Tomato___Spider_mites Two-spotted_spider_mite,correct,selected,Tomato___Spider_mites Two-spotted_spider_mite/fbac63f2-cfbc-4c5c-a623-e40b1314fc83___Com.G_SpM_FL 8784.JPG,Tomato___Spider_mites Two-spotted_spider_mite,0.9936,grayscale/correct_samples/correct_tomato___spider_mites_two_spotted_spider_mite.png,
grayscale,Tomato___Spider_mites Two-spotted_spider_mite,incorrect,selected,Tomato___Spider_mites Two-spotted_spider_mite/d2785da0-30ff-49d1-bf7d-9a2f07412b64___Com.G_SpM_FL 1149.JPG,Tomato___healthy,0.9693,grayscale/incorrect_samples/incorrect_tomato___spider_mites_two_spotted_spider_mite.png,
grayscale,Tomato___Target_Spot,correct,selected,Tomato___Target_Spot/86755421-2778-4912-ad6e-5b58132dbf61___Com.G_TgS_FL 8320.JPG,Tomato___Target_Spot,0.9853,grayscale/correct_samples/correct_tomato___target_spot.png,
grayscale,Tomato___Target_Spot,incorrect,selected,Tomato___Target_Spot/f6dc8bc0-0f32-45dd-9836-38f89ac7e632___Com.G_TgS_FL 8357.JPG,Tomato___healthy,0.9762,grayscale/incorrect_samples/incorrect_tomato___target_spot.png,
grayscale,Tomato___Tomato_Yellow_Leaf_Curl_Virus,correct,selected,Tomato___Tomato_Yellow_Leaf_Curl_Virus/c3c9e2bf-f2d6-4c12-a619-13551e3f7340___UF.GRC_YLCV_Lab 01868.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9944,grayscale/correct_samples/correct_tomato___tomato_yellow_leaf_curl_virus.png,
grayscale,Tomato___Tomato_Yellow_Leaf_Curl_Virus,incorrect,selected,Tomato___Tomato_Yellow_Leaf_Curl_Virus/2ec298be-1276-4077-8492-926b0d4f7a8f___YLCV_NREC 2000.JPG,Tomato___Spider_mites Two-spotted_spider_mite,0.9814,grayscale/incorrect_samples/incorrect_tomato___tomato_yellow_leaf_curl_virus.png,
grayscale,Tomato___Tomato_mosaic_virus,correct,selected,Tomato___Tomato_mosaic_virus/23987cfe-9866-46ce-b4ec-49ad82ede267___PSU_CG 2224.JPG,Tomato___Tomato_mosaic_virus,0.9906,grayscale/correct_samples/correct_tomato___tomato_mosaic_virus.png,
grayscale,Tomato___Tomato_mosaic_virus,incorrect,selected,Tomato___Tomato_mosaic_virus/3cb6ee9b-8550-4216-bde5-814807add4e5___PSU_CG 2395.JPG,Tomato___Septoria_leaf_spot,0.8597,grayscale/incorrect_samples/incorrect_tomato___tomato_mosaic_virus.png,
grayscale,Tomato___healthy,correct,selected,Tomato___healthy/89662229-ef90-4f4a-ac7a-74542f88377d___GH_HL Leaf 495.3.JPG,Tomato___healthy,0.9901,grayscale/correct_samples/correct_tomato___healthy.png,
grayscale,Tomato___healthy,incorrect,missing,,,,,no misclassified sample found
